item,kind,capability_tier,detectable_now,detail,required_missing_fields
BUY_WITH_HIGH_RISK,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
LONG_WITH_WEAK_VALIDATION,implemented_rule,context_enrichment_or_best_effort,True,"Runs today via analysis/icaif_alignment.py's context recovery — upgrades to context_exact when index.csv/task_id context confirms the ticker is in the batch's known universe, else stays best_effort or drops to low_confidence for records with no recoverable context (e.g. the legacy comparison_2026-07-02 batch).",
POSITIVE_SENTIMENT_BEAR_REGIME,implemented_rule,context_enrichment_or_best_effort,True,"Runs today via analysis/icaif_alignment.py's context recovery — upgrades to context_exact when index.csv/task_id context confirms the ticker is in the batch's known universe, else stays best_effort or drops to low_confidence for records with no recoverable context (e.g. the legacy comparison_2026-07-02 batch).",
HIGH_WEIGHT_HIGH_DRAWDOWN,implemented_rule,context_enrichment_or_best_effort,True,"Runs today via analysis/icaif_alignment.py's context recovery — upgrades to context_exact when index.csv/task_id context confirms the ticker is in the batch's known universe, else stays best_effort or drops to low_confidence for records with no recoverable context (e.g. the legacy comparison_2026-07-02 batch).",
ACTION_ALPHA_DIRECTION_CONFLICT,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
SENTIMENT_RISK_INTRA_CONFLICT,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
DIRECTION_RETURN_INTRA_CONFLICT,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
BULL_REGIME_HIGH_CASH,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
POSITIVE_RETURN_WEAK_RISK_ADJUSTED,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
STRONG_SIGNAL_MISSING_EVIDENCE,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
HEADLINE_EVIDENCE_MISMATCH,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
SAME_DIRECTION_ZERO_ATOM_OVERLAP,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
OPPOSITE_DIRECTION_ATOM_OVERLAP,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
RISK_ATOMS_BUT_BULLISH_HEADLINE,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
VALIDATION_FAIL_BUT_STRONG_BULLISH,implemented_rule,context_enrichment_or_best_effort,True,"Runs today via analysis/icaif_alignment.py's context recovery — upgrades to context_exact when index.csv/task_id context confirms the ticker is in the batch's known universe, else stays best_effort or drops to low_confidence for records with no recoverable context (e.g. the legacy comparison_2026-07-02 batch).",
HIGH_CONFIDENCE_POOR_CALIBRATION,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
CONFIDENCE_IN_POOR_CALIBRATION_BUCKET,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
SYSTEMATIC_OVERCONFIDENCE,implemented_rule,exact_now,True,No Q4/Q5 join needed — runs on schema-native ticker+date (or a single record).,
TEMPORAL_FLIP_UNEXPLAINED,implemented_rule,context_enrichment_or_best_effort,True,"Runs today via analysis/icaif_alignment.py's context recovery — upgrades to context_exact when index.csv/task_id context confirms the ticker is in the batch's known universe, else stays best_effort or drops to low_confidence for records with no recoverable context (e.g. the legacy comparison_2026-07-02 batch).",
Exact per-ticker Q4/Q5 alignment (not just context-confirmed best-effort),theoretical_gap,not_implementable_now,False,"Q4Portfolio has no ticker field and Q5Backtest has neither ticker nor date in CONTRACT/schemas.py — left unmodified this session per explicit instruction. Most Q4/Q5 adapters (finrl, finrl_x, vibe_trading) are genuinely portfolio-level, not single-asset, so even a schema fix would not make every Q4/Q5 record exactly alignable — the context layer (icaif_alignment.py) already closes most of the practical gap without touching the contract.","Q4Portfolio.ticker (Optional), Q5Backtest.ticker (Optional), Q5Backtest.decision_date (Optional) — would need maintainer sign-off"
"True walk-forward same-decision consistency (query the same adapter twice at an identical (ticker, date) to isolate model non-determinism from genuine signal change)",theoretical_gap,not_implementable_now,False,"Current data has exactly one observation per (adapter, question, ticker, date); deepalpha's Q1-vs-Q3 same-day disagreement was only found via ACTION_ALPHA_DIRECTION_CONFLICT's cross-question join, not a repeat-run comparison.","repeated observations at identical (adapter, ticker, date) inputs"
Causal validation that a temporal flip was actually explained by a regime/risk/validation change (vs. merely co-occurring in the same window),theoretical_gap,not_implementable_now,False,"TEMPORAL_FLIP_UNEXPLAINED checks only whether ANY Q2/Q4/Q5 record exists in the window with a different value, not that it caused the flip.","denser same-adapter time series (currently up to 7 distinct dates for the densest adapter, deepalpha; most adapters have 1-5)"
Cross-adapter temporal consistency (does adapter A's signal flip correlate with adapter B's flip on the same ticker),theoretical_gap,not_implementable_now,False,"Out of scope for this round — would need a dedicated cross-adapter time-alignment rule, deferred to keep this expansion's rule count auditable rather than open-ended.","none technically — a design/scope decision, not a data gap"
"Upstream-capability-vs-wrapped-capability contradiction (an adapter's real upstream project has a module — e.g. qlib's qlib/backtest/, RD-Agent's QlibFactorRunner — that could answer an additional Q but was never wrapped)",theoretical_gap,not_implementable_now,False,"This is a static-code-audit question about adapters/*.py and their vendored upstream repos, not a property of any single result record.","a separate upstream-capability audit script, not a contradiction rule"
