adapter,ticker,date,task_id,risk_atoms
fingpt,AAPL,2026-07-02,comparison_2026-07-02,risk_level:MEDIUM
fingpt,BTC-USD,2026-07-02,comparison_2026-07-02,risk_level:MEDIUM
fingpt,NVDA,2026-07-02,comparison_2026-07-02,risk_level:LOW
fingpt,SPY,2026-07-02,comparison_2026-07-02,risk_level:HIGH
fingpt,TSLA,2026-07-02,comparison_2026-07-02,risk_level:MEDIUM
ai_hedge_fund,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
fingpt,AAPL,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,GLD,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
fingpt,JNJ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,JPM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,MSFT,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,NVDA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,QQQ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
fingpt,SPY,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
fingpt,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
fingpt,XOM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
finrl,,2026-07-06,observation_batch_day1__2026-07-06,regime:SIDEWAYS
finrl_x,,2026-07-06,observation_batch_day1__2026-07-06,regime:BULL
nofx,AAPL,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
nofx,GLD,2026-07-06,observation_batch_day1__2026-07-06,risk_level:EXTREME
nofx,JNJ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:EXTREME
nofx,JPM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
nofx,MSFT,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
nofx,NVDA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
nofx,QQQ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
nofx,SPY,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
nofx,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:EXTREME
nofx,XOM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
prediction_arena,AAPL,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,GLD,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,JNJ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,JPM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,MSFT,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,NVDA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,QQQ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,SPY,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,XOM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
prediction_arena,,,observation_batch_day1__2026-07-06,severe_drawdown
tradingagents,AAPL,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,GLD,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,JNJ,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,JPM,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,MSFT,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,NVDA,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,QQQ,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,SPY,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,XOM,2026-07-06,observation_batch_day1__2026-07-06,risk_language_in_reasoning
tradingagents,AAPL,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
tradingagents,GLD,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,JNJ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:HIGH
tradingagents,JPM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,MSFT,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,NVDA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,QQQ,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,SPY,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
tradingagents,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk_level:MEDIUM
tradingagents,XOM,2026-07-06,observation_batch_day1__2026-07-06,risk_level:LOW
vibe_trading,,2026-07-06,observation_batch_day1__2026-07-06,high_cash_ratio
finrl,,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,regime:BULL
finrl,,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,regime:BULL
finrl,,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,regime:BULL
finrl,,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,regime:BULL
finrl,,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,regime:SIDEWAYS
